n_mfcc,run_id,seed,test_accuracy,test_loss,epochs_trained,history_loss,history_accuracy,history_val_loss,history_val_accuracy
13,1,893,0.6670668125152588,1.339151382446289,30,"[2.917788028717041, 2.256542921066284, 2.049644947052002, 1.8566821813583374, 1.7736917734146118, 1.6572933197021484, 1.5950312614440918, 1.5147435665130615, 1.4629924297332764, 1.4146842956542969, 1.3563382625579834, 1.2924652099609375, 1.2549628019332886, 1.223685622215271, 1.199079155921936, 1.1806797981262207, 1.155820608139038, 1.0938856601715088, 1.0810469388961792, 1.059683084487915, 1.0268152952194214, 1.0104864835739136, 0.9659429788589478, 0.9756211042404175, 0.941505491733551, 0.915561854839325, 0.9107403755187988, 0.8822823762893677, 0.8742501139640808, 0.8495568633079529]","[0.2847836911678314, 0.4107232391834259, 0.45866042375564575, 0.5034241080284119, 0.527810275554657, 0.5643895268440247, 0.5764155387878418, 0.6041423082351685, 0.6216803193092346, 0.6281943917274475, 0.6480708122253418, 0.6737931966781616, 0.6826457381248474, 0.687656581401825, 0.6995156407356262, 0.7030231952667236, 0.716886579990387, 0.7454484701156616, 0.7387673258781433, 0.7454484701156616, 0.7507933974266052, 0.7561383247375488, 0.776515781879425, 0.7771838903427124, 0.7862034440040588, 0.7967262268066406, 0.795724093914032, 0.8075830936431885, 0.8090863823890686, 0.8149323463439941]","[2.062945604324341, 1.7951345443725586, 1.7089396715164185, 1.6366510391235352, 1.5715943574905396, 1.5690609216690063, 1.5459808111190796, 1.4989651441574097, 1.497446894645691, 1.505201816558838, 1.468576192855835, 1.4594576358795166, 1.4264565706253052, 1.4357264041900635, 1.435436487197876, 1.3736361265182495, 1.4458359479904175, 1.3995027542114258, 1.3910452127456665, 1.4046839475631714, 1.3955192565917969, 1.3904186487197876, 1.3689076900482178, 1.4453959465026855, 1.3848212957382202, 1.433819055557251, 1.3696578741073608, 1.3380084037780762, 1.3540650606155396, 1.3544310331344604]","[0.390666663646698, 0.4973333477973938, 0.5306666493415833, 0.5566666722297668, 0.5633333325386047, 0.5799999833106995, 0.5866666436195374, 0.5973333120346069, 0.5920000076293945, 0.6046666502952576, 0.628000020980835, 0.621999979019165, 0.6200000047683716, 0.6146666407585144, 0.6313333511352539, 0.6393333077430725, 0.637333333492279, 0.637333333492279, 0.6426666378974915, 0.6386666893959045, 0.6520000100135803, 0.6553333401679993, 0.653333306312561, 0.6433333158493042, 0.6586666703224182, 0.637333333492279, 0.6639999747276306, 0.6646666526794434, 0.6673333048820496, 0.6859999895095825]"
20,1,893,0.6438575387001038,1.5038248300552368,30,"[2.5168795585632324, 1.975537657737732, 1.8079524040222168, 1.6917836666107178, 1.5978953838348389, 1.5140451192855835, 1.4299951791763306, 1.3872164487838745, 1.3064016103744507, 1.2559417486190796, 1.2151013612747192, 1.1618880033493042, 1.1091388463974, 1.0772602558135986, 1.043542742729187, 1.0018401145935059, 0.9695941805839539, 0.9329909086227417, 0.919547438621521, 0.8845816254615784, 0.8427295684814453, 0.8316288590431213, 0.8003990650177002, 0.773857593536377, 0.7587277293205261, 0.7349388003349304, 0.7334659695625305, 0.6913570761680603, 0.682136058807373, 0.6719958782196045]","[0.30699849128723145, 0.4324369430541992, 0.4867212176322937, 0.5233004689216614, 0.5632203221321106, 0.592283308506012, 0.6183397173881531, 0.6322031021118164, 0.6666110157966614, 0.6761316061019897, 0.7006848454475403, 0.718055784702301, 0.7354267835617065, 0.7412727475166321, 0.752463698387146, 0.7723400592803955, 0.7836980223655701, 0.7990646362304688, 0.798563539981842, 0.8074160814285278, 0.8292968273162842, 0.8292968273162842, 0.8374812006950378, 0.8500083684921265, 0.8533489108085632, 0.8556873202323914, 0.8601970672607422, 0.8787372708320618, 0.8785702586174011, 0.8824118971824646]","[2.090536117553711, 1.792238473892212, 1.6441611051559448, 1.5840588808059692, 1.5554677248001099, 1.5042803287506104, 1.5365180969238281, 1.4946092367172241, 1.4831163883209229, 1.4841327667236328, 1.4978982210159302, 1.466995120048523, 1.4438488483428955, 1.4717861413955688, 1.4226285219192505, 1.5062991380691528, 1.4175182580947876, 1.4245176315307617, 1.4141663312911987, 1.4208556413650513, 1.461230754852295, 1.3724071979522705, 1.4026583433151245, 1.4678215980529785, 1.4077129364013672, 1.4476689100265503, 1.4038255214691162, 1.4102975130081177, 1.428663730621338, 1.4097065925598145]","[0.40666666626930237, 0.47200000286102295, 0.5173333287239075, 0.5533333420753479, 0.5640000104904175, 0.5786666870117188, 0.5913333296775818, 0.5979999899864197, 0.6186666488647461, 0.612666666507721, 0.6226666569709778, 0.624666690826416, 0.6493333578109741, 0.6480000019073486, 0.6646666526794434, 0.6446666717529297, 0.6606666445732117, 0.6666666865348816, 0.6693333387374878, 0.6766666769981384, 0.6600000262260437, 0.6899999976158142, 0.6759999990463257, 0.6833333373069763, 0.6859999895095825, 0.6886666417121887, 0.6866666674613953, 0.6940000057220459, 0.6986666917800903, 0.6993333101272583]"
30,1,893,0.6614645719528198,1.4669641256332397,30,"[2.4533145427703857, 1.8909912109375, 1.7131856679916382, 1.5489643812179565, 1.466792106628418, 1.3747899532318115, 1.2901867628097534, 1.2504934072494507, 1.1517159938812256, 1.1025562286376953, 1.0431506633758545, 1.0148398876190186, 0.9612364172935486, 0.9223815202713013, 0.8926270604133606, 0.8562077283859253, 0.8274094462394714, 0.8054949045181274, 0.7593281269073486, 0.7374324798583984, 0.7077248096466064, 0.6805630326271057, 0.6718986630439758, 0.6369289755821228, 0.6371240615844727, 0.6007882356643677, 0.5907474160194397, 0.5731993913650513, 0.5695201754570007, 0.5587677359580994]","[0.3143477439880371, 0.4548187851905823, 0.5212961435317993, 0.573074996471405, 0.6136629581451416, 0.6427258849143982, 0.6666110157966614, 0.6884917616844177, 0.7155503630638123, 0.7369300127029419, 0.7576415538787842, 0.76649409532547, 0.7860364317893982, 0.8052446842193604, 0.8079171776771545, 0.8262903094291687, 0.8366460800170898, 0.8419910073280334, 0.8563554286956787, 0.8678804039955139, 0.8757307529449463, 0.885084331035614, 0.8899281620979309, 0.8992817997932434, 0.8999499082565308, 0.9166527390480042, 0.9146484136581421, 0.9211625456809998, 0.9235008955001831, 0.9280107021331787]","[2.0663609504699707, 1.7300797700881958, 1.5401846170425415, 1.5247527360916138, 1.4693081378936768, 1.4443092346191406, 1.484440803527832, 1.4480947256088257, 1.5108437538146973, 1.4494186639785767, 1.4746440649032593, 1.4424575567245483, 1.492303729057312, 1.4978326559066772, 1.4529062509536743, 1.5628725290298462, 1.4964226484298706, 1.4491008520126343, 1.439931035041809, 1.506060242652893, 1.403535008430481, 1.5195868015289307, 1.4393119812011719, 1.4589223861694336, 1.4090428352355957, 1.5641305446624756, 1.4810620546340942, 1.4580491781234741, 1.5192315578460693, 1.4855622053146362]","[0.40933331847190857, 0.5206666588783264, 0.5866666436195374, 0.5893333554267883, 0.6200000047683716, 0.6359999775886536, 0.6133333444595337, 0.6140000224113464, 0.6159999966621399, 0.6413333415985107, 0.640666663646698, 0.6506666541099548, 0.6426666378974915, 0.624666690826416, 0.6413333415985107, 0.6293333172798157, 0.6506666541099548, 0.6613333225250244, 0.6660000085830688, 0.6613333225250244, 0.6733333468437195, 0.6646666526794434, 0.671999990940094, 0.6800000071525574, 0.6813333630561829, 0.6539999842643738, 0.671999990940094, 0.6713333129882812, 0.6706666946411133, 0.6753333210945129]"
40,1,893,0.6702681183815002,1.5056731700897217,30,"[2.324948787689209, 1.8288884162902832, 1.6167571544647217, 1.4828319549560547, 1.3687926530838013, 1.2891627550125122, 1.1967442035675049, 1.1064757108688354, 1.049466609954834, 0.9739311337471008, 0.941167950630188, 0.8707494735717773, 0.8308380842208862, 0.7937999963760376, 0.7609920501708984, 0.7158499956130981, 0.6966898441314697, 0.6656882762908936, 0.6560859680175781, 0.6250609755516052, 0.6042092442512512, 0.5816207528114319, 0.5693240165710449, 0.5532272458076477, 0.536279022693634, 0.5225465893745422, 0.5180842280387878, 0.5144082307815552, 0.5018039345741272, 0.47853103280067444]","[0.3519291877746582, 0.48421579599380493, 0.5521964430809021, 0.603140115737915, 0.6517454385757446, 0.6781359314918518, 0.7120427489280701, 0.7367630004882812, 0.7599799633026123, 0.7820277214050293, 0.7952229976654053, 0.8202772736549377, 0.8321362733840942, 0.8513445854187012, 0.8586938381195068, 0.8795723915100098, 0.8869216442108154, 0.8936027884483337, 0.8997828364372253, 0.9101386070251465, 0.920661449432373, 0.9238349795341492, 0.9286788105964661, 0.9345247745513916, 0.9358610510826111, 0.9428762197494507, 0.9470519423484802, 0.9493903517723083, 0.9525638818740845, 0.9569066166877747]","[1.9481606483459473, 1.7211130857467651, 1.5930527448654175, 1.5078561305999756, 1.5742968320846558, 1.5631436109542847, 1.6061432361602783, 1.5647119283676147, 1.6807905435562134, 1.720159888267517, 1.672386884689331, 1.6883624792099, 1.7972297668457031, 1.8110533952713013, 1.7438933849334717, 1.9122651815414429, 1.8110136985778809, 1.7679487466812134, 1.9151722192764282, 1.9441217184066772, 1.7561984062194824, 1.8382866382598877, 1.8232684135437012, 1.8845993280410767, 1.8795193433761597, 1.8576298952102661, 1.960376501083374, 1.798757791519165, 1.8260844945907593, 1.914318561553955]","[0.4606666564941406, 0.5419999957084656, 0.5986666679382324, 0.6039999723434448, 0.5953333377838135, 0.6153333187103271, 0.6079999804496765, 0.624666690826416, 0.6133333444595337, 0.6133333444595337, 0.6166666746139526, 0.6146666407585144, 0.6119999885559082, 0.6159999966621399, 0.6359999775886536, 0.6086666584014893, 0.6333333253860474, 0.6380000114440918, 0.6153333187103271, 0.6173333525657654, 0.637333333492279, 0.6493333578109741, 0.6393333077430725, 0.6466666460037231, 0.6420000195503235, 0.6413333415985107, 0.653333306312561, 0.6426666378974915, 0.6480000019073486, 0.6399999856948853]"
50,1,893,0.6342536807060242,1.8208181858062744,30,"[2.356842279434204, 1.7620680332183838, 1.570831537246704, 1.3980523347854614, 1.2810345888137817, 1.1815783977508545, 1.0714186429977417, 1.007826328277588, 0.9293965101242065, 0.8846798539161682, 0.8328413367271423, 0.7972093224525452, 0.727960467338562, 0.7022228837013245, 0.679643988609314, 0.6408316493034363, 0.6196085810661316, 0.5889065265655518, 0.5763760805130005, 0.5538219213485718, 0.5255866646766663, 0.525452733039856, 0.5217186212539673, 0.5117135047912598, 0.48703476786613464, 0.48315078020095825, 0.47010159492492676, 0.47735005617141724, 0.4669654667377472, 0.45414361357688904]","[0.34641724824905396, 0.5102722644805908, 0.5700684785842896, 0.6392183303833008, 0.6821446418762207, 0.716051459312439, 0.7521296143531799, 0.7795222997665405, 0.8042425513267517, 0.8192750811576843, 0.8383163809776306, 0.8518456816673279, 0.8758977651596069, 0.8835811018943787, 0.8937698602676392, 0.9084683656692505, 0.9161516427993774, 0.9283447265625, 0.9321864247322083, 0.942375123500824, 0.9503925442695618, 0.9463838338851929, 0.9475530385971069, 0.9492233395576477, 0.9590780138969421, 0.9599131345748901, 0.9640888571739197, 0.963587760925293, 0.9644229412078857, 0.9660931825637817]","[1.9437782764434814, 1.6688741445541382, 1.5893950462341309, 1.5358898639678955, 1.5095338821411133, 1.5596210956573486, 1.6370534896850586, 1.6118882894515991, 1.743080735206604, 1.5782248973846436, 1.6959521770477295, 1.6802531480789185, 1.7265045642852783, 1.779613733291626, 1.7386586666107178, 1.8698259592056274, 1.8080841302871704, 1.751380205154419, 1.8599075078964233, 1.8684695959091187, 1.948815941810608, 1.8008261919021606, 1.9480679035186768, 1.951992392539978, 1.9836914539337158, 1.8899019956588745, 2.003776788711548, 1.9212636947631836, 1.9031848907470703, 2.0267484188079834]","[0.445333331823349, 0.5446666479110718, 0.5786666870117188, 0.5993333458900452, 0.6173333525657654, 0.6060000061988831, 0.6013333201408386, 0.6073333621025085, 0.5886666774749756, 0.6393333077430725, 0.6206666827201843, 0.6293333172798157, 0.6266666650772095, 0.612666666507721, 0.6320000290870667, 0.6153333187103271, 0.6326666474342346, 0.6439999938011169, 0.6166666746139526, 0.6353333592414856, 0.6259999871253967, 0.6506666541099548, 0.6293333172798157, 0.640666663646698, 0.6326666474342346, 0.6420000195503235, 0.6259999871253967, 0.6433333158493042, 0.6520000100135803, 0.6233333349227905]"
